year,award,outcome,title,author,published
1995,Best Short Story,Finalist,“Grass Dancer”,Owl Goingback,no publishing information available
1995,Best Short Story,Finalist,“The Narcissus Plague”,Lisa Goldstein,Asimov’s Magazine
1995,Best Short Story,Finalist,“The Kingdom of Cats and Birds”,Geoffrey A. Landis,Science Fiction Age
1995,Best Short Story,Finalist,“The Lincoln Train”,Maureen F. Mchugh,The Magazine of Fantasy and Science Fiction
1995,Best Short Story,Finalist,“Short Timer”,Dave Smeds,The Magazine of Fantasy and Science Fiction
1994,Best Novel,Winner,Moving Mars,Greg Bear,Tor
1994,Best Novel,Finalist,Parable of the Sower,Octavia E. Butler,Four Walls Eight Windows
1994,Best Novel,Finalist,Towing Jehovah,James Morrow,Harcourt
1994,Best Novel,Finalist,Beggars and Choosers,Nancy Kress,Tor
1994,Best Novel,Finalist,"Gun, With Occasional Music",Jonathan Lethem,Harcourt
1994,Best Novel,Finalist,Temporary Agency,Rachel Pollack,St. Martin’s
1994,Best Novel,Finalist,Green Mars,Kim Stanley Robinson,Bantam Spectra
1994,Best Novel,Finalist,A Night in the Lonesome October,Roger Zelazny,Morrow
1994,Best Novella,Finalist,“Mefisto In Onyx”,Harlan Ellison,Omni
1994,Best Novella,Finalist,“Haunted Humans”,Nina Kiriki Hoffman,The Magazine of Fantasy and Science Fiction
1994,Best Novella,Finalist,“Forgiveness Day”,Ursula K. Le Guin,Asimov’s Magazine
1994,Best Novella,Winner,“Seven Views of Olduvai Gorge”,Mike Resnick,The Magazine of Fantasy and Science Fiction
1994,Best Novella,Finalist,“Fan”,Geoff Ryman,no publishing information available
1994,Best Novella,Finalist,“Cold Iron”,Michael Swanwick,Asimov’s Magazine
1994,Best Novelette,Finalist,“Necronauts”,Terry Bisson,Playboy
1994,Best Novelette,Winner,“The Martian Child”,David Gerrold,The Magazine of Fantasy and Science Fiction
1994,Best Novelette,Finalist,“The Skeleton Key”,Nina Kiriki Hoffman,The Magazine of Fantasy and Science Fiction
1994,Best Novelette,Finalist,“The Singular Habits of Wasps”,Geoffrey A. Landis,Analog
1994,Best Novelette,Finalist,“The Matter of Seggri”,Ursula K. Le Guin,no publishing information available
1994,Best Novelette,Finalist,“Nekropolis”,Maureen F. Mchugh,Asimov’s Magazine
1994,Best Short Story,Finalist,“Inspiration”,Ben Bova,The Magazine of Fantasy and Science Fiction
1994,Best Short Story,Finalist,“None So Blind”,Joe Haldeman,Asimov’s Magazine
1994,Best Short Story,Finalist,“Understanding Entropy”,Barry N. Malzberg,Science Fiction Age
1994,Best Short Story,Finalist,“Virtual Love”,Maureen F. Mchugh,The Magazine of Fantasy and Science Fiction
1994,Best Short Story,Winner,“A Defense of the Social Contracts”,Martha Soukup,Science Fiction Age
1994,Best Short Story,Finalist,“I Know What You’re Thinking”,Kate Wilhelm,Asimov’s Magazine
1993,Best Novel,Finalist,Assemblers of Infinity,Kevin J. Anderson,Doug Beason
1993,Best Novel,Finalist,Hard Landing,Algis Budrys,The Magazine of Fantasy and Science Fiction
1993,Best Novel,Finalist,Beggars in Spain,Nancy Kress,Morrow
1993,Best Novel,Winner,Red Mars,Kim Stanley Robinson,Bantam Spectra
1993,Best Novel,Finalist,Nightside the Long Sun,Gene Wolfe,Tor
1993,Best Novella,Finalist,“The Beauty Addict”,Ray Aldridge,no publishing information available
1993,Best Novella,Winner,“The Night We Buried Road Dog”,Jack Cady,The Magazine of Fantasy and Science Fiction
1993,Best Novella,Finalist,“Dancing on Air”,Nancy Kress,Asimov’s Magazine
1993,Best Novella,Finalist,“Into the Miranda Rift”,G. David Nordley,Analog
1993,Best Novella,Finalist,“Naming the Flowers”,Kate Wilhelm,Axolotl
1993,Best Novella,Finalist,"“Wall, Stone, Craft”",Walter Jon Williams,The Magazine of Fantasy and Science Fiction
1993,Best Novelette,Finalist,“The Nutcracker Coup”,Janet Kagan,Asimov’s Magazine
1993,Best Novelette,Finalist,“The Franchise”,John Kessel,Asimov’s Magazine
1993,Best Novelette,Winner,“Georgia on My Mind”,Charles Sheffield,Analog
1993,Best Novelette,Finalist,“Things Not Seen”,Martha Soukup,Analog
1993,Best Novelette,Finalist,“Death on the Nile”,Connie Willis,Asimov’s Magazine
1993,Best Short Story,Finalist,“The Man Who Rowed Christopher Columbus Ashore”,Harlan Ellison,Omni
1993,Best Short Story,Finalist,“All Vows”,Esther M. Friesner,Asimov’s Magazine
1993,Best Short Story,Finalist,“Alfred”,Lisa Goldstein,Asimov’s Magazine
1993,Best Short Story,Winner,“Graves”,Joe Haldeman,The Magazine of Fantasy and Science Fiction
