year,award,outcome,title,author,published
2014,Best Novelette,20,The Effigy Engine: A Tale of the Red Hats, Scott Lynch ,Fearsome Journeys
2014,Best Novelette,21,The Book Seller, Lavie Tidhar ,Interzone Jan/Feb 2013
2014,Best Novelette,22,The Good Husband, Nathan Ballingrud ,North American Lake Monsters
2014,Best Novelette,23,The Discovered Country, Ian R. Macleod ,Asimov's Sep 2013
2014,Best Novelette,24,Phosphorus, Veronica Schanoes ,Queen Victoria's Book of Spells
2014,Best Novelette,25,Painted Birds and Shivered Bones, Kat Howard ,Subterranean Spr 2013
2014,Best Novelette,26,Grizzled Veterans of Many and Much, Robert Reed ,F&SF; May/Jun 2013
2014,Best Novelette,27,Atmosphaera Incognita, Neal Stephenson ,Starship Century
2014,Best Novelette,28,Watching the Cow, Alex Irvine ,F&SF; Jan/Feb 2013
2014,Best Novelette,29,Chalk, Pat Cadigan ,This Is Horror
2014,Best Novelette,30,The Dragonslayer of Merebarton, K. J. Parker ,Fearsome Journeys
2014,Best Novelette,31,Entangled, Ian R. Macleod ,Asimov's Dec 2013
2014,Best Novelette,32,And Then Some, Matthew Hughes ,Asimov's Feb 2013
2014,Best Novelette,33,No Others are Genuine, Gregory Frost ,Asimov's Oct/Nov 2013
2014,Best Novelette,34,The Irish Astronaut, Val Nolan ,Electric Velocipede Spr 2013
2014,Best Novelette,35,The Same Deep Waters as You, Brian Hodges ,Weirder Shadows Over Innsmouth
2014,Best Short Story,1,The Road of Needles, Caitlín R. Kiernan ,Once Upon a Time: New Fairy Tales
2014,Best Short Story,2,Some Desperado, Joe Abercrombie ,Dangerous Women
2014,Best Short Story,3,A Brief History of the Trans-Pacific Tunnel, Ken Liu ,F&SF; Jan/Feb 2013
2014,Best Short Story,4,The Science of Herself, Karen Joy Fowler ,The Science of Herself
2014,Best Short Story,5,The Dead Sea-Bottom Scrolls, Howard Waldrop ,Old Mars
2014,Best Short Story,6,Among Us, Robert Reed ,F&SF; Jan/Feb 2013
2014,Best Short Story,7,The She-Wolf's Hidden Grin, Michael Swanwick ,Shadows of the New Sun
2014,Best Short Story,8,Uncaged, Gene Wolfe ,Rags and Bones
2014,Best Short Story,9,If You Were a Dinosaur, My Love”,Apex Mar 2013
2014,Best Short Story,10,Night Train to Paris, David Gerrold ,F&SF; Jan/Feb 2013
2014,Best Short Story,11,Rosary and Goldenstar, Geoff Ryman ,F&SF; Sep/Oct 2013
2014,Best Short Story,12,The Water That Falls on You from Nowhere, John Chu ,Tor.com 20 Feb 2013
2014,Best Short Story,13,Effigy Nights, Yoon Ha Lee ,Clarkesworld Sep 2013
2014,Best Short Story,14,The Fairy Enterprise, Jeffrey Ford ,Queen Victoria's Book of Spells
2014,Best Short Story,15,The Sounds of Old Earth, Matthew Kressel ,Lightspeed Jan 2013
2014,Best Short Story,16,The Wildfires of Antarctica, Alan Deniro ,Asimov's Oct/Nov 2013
2014,Best Short Story,17,Ilse, Who Saw Clearly”,Apex May 2013
